year_of_incident,watch,type_of_incident,type_location,type_of_property,incident_address,reporting_area,beat,division,council_district,date1_of_occurrence,year1_of_occurrence,month1_of_occurence,day1_of_the_week,time1_of_occurrence,day1_of_the_year,date2_of_occurrence,year2_of_occurrence,month2_of_occurence,day2_of_the_week,time2_of_occurrence,day2_of_the_year,date_of_report,date_incident_created,offense_entered_year,offense_entered_month,offense_entered_day_of_the_week,offense_entered_time,offense_entered_date_time,call_received_date_time,call_date_time,call_cleared_date_time,call_dispatch_date_time,person_involvement_type,victim_type,victim_race,victim_ethnicity,victim_gender,element_number_assigned,investigating_unit_1,investigating_unit_2,offense_status,ucr_disposition,modus_operandi_mo,family_offense,hate_crime,hate_crime_description,weapon_used,gang_related_offense,drug_related_istevencident,criminal_justice_information_service_code,penal_code,ucr_offense_name,ucr_offense_description,ucr_code,offense_type,nibrs_crime,nibrs_crime_category,nibrs_crime_against,nibrs_code,nibrs_group,nibrs_type,update_date,x_coordinate,y_cordinate,zip_code,city,state,location1
2020,3,CRIM MISCHIEF > OR EQUAL $100 < $750,Apartment Complex/Building,N/A,3330 WEBB CHAPEL EXT,3059,538,NORTHWEST,D2,2020-05-18T00:00:00Z,2020,May,Mon,21:15:00,139,2020-05-18T00:00:00Z,2020,May,Mon,21:45:00,139,2020-05-18T21:59:00Z,2020-05-18T22:28:09Z,2020,May,Mon,22:28:00,139,2020-05-18T21:59:50Z,2020-05-18T21:59:50Z,2020-05-19T02:43:18Z,2020-05-18T22:05:12Z,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,C517,Investigations,Property Crime Division / NW Property Crimes,Clear by Arrest,CBA (Over Age 17),A/P INTENTIONALLY CAUSED DAMAGE TO COMP'S PROPERTY.,FALSE,NA,None,NA,NA,No,29990042,PC 28.03(b)(2),NA,NA,NA,NA,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,290,A,Coded,2020-11-13T14:13:35Z,2470743.02213803,7000592.52637686,75220,DALLAS,TX,"3330 WEBB CHAPEL EXT
DALLAS, TX 75220
(32.862359, -96.865151)"
2021,2,CRIM MISCHIEF > OR EQUAL $100 < $750,Apartment Complex/Building,N/A,3335 MUNGER AVE,2016,154,CENTRAL,D14,2021-06-10T00:00:00Z,2021,June,Thu,14:00:00,161,2021-06-10T00:00:00Z,2021,June,Thu,14:30:00,161,2021-06-10T14:41:00Z,2021-06-10T15:38:02Z,2021,June,Thu,15:38:00,161,2021-06-10T14:41:39Z,2021-06-10T14:41:39Z,2021-06-10T15:47:15Z,2021-06-10T15:27:11Z,Victim,Business,NA,NA,NA,F154,Investigations,Property Crime Division / CE Property Crimes,Clear by Exceptional Arrest,CBEA (Over Age 17),SUSP KICKED DOOR IN,FALSE,NA,None,NA,NA,No,29990042,PC 28.03(b)(2),NA,NA,NA,NA,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,290,A,Coded,2021-07-28T14:23:27Z,2493717.42828886,6977293.15729327,75204,DALLAS,TX,"3335 MUNGER AVE
DALLAS, TX 75204
(32.797328, -96.790577)"
2020,1,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,3669 DILIDO RD,1202,221,NORTHEAST,D7,2020-07-28T00:00:00Z,2020,July,Tue,22:00:00,210,2020-07-29T00:00:00Z,2020,July,Wed,09:00:00,211,2020-07-29T14:53:00Z,2020-07-29T15:21:02Z,2020,July,Wed,15:21:00,211,2020-07-29T14:53:20Z,2020-07-29T14:53:20Z,2020-07-29T15:28:09Z,2020-07-29T15:07:06Z,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,EX06,Investigations,Property Crime Division / NE Property Crimes,Suspended,Suspended,UNKN SUSPECT REMOVED THE REAR LICENSE PLATE FROM VEHICLE,FALSE,NA,None,NA,NA,No,99999999,PC 31.03(f),NA,NA,NA,NA,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,23G,A,Coded,2021-02-05T13:12:15Z,2525142.85231453,6979163.44259469,75228,DALLAS,TX,"3669 DILIDO RD
DALLAS, TX 75228
(32.801433, -96.688218)"
2021,1,TRAFFIC VIOLATION - NON HAZARDOUS,"Highway, Street, Alley ETC",N/A,1985 W NORTHWEST HWY,6060,533,NORTHWEST,D6,2021-12-17T00:00:00Z,2021,December,Fri,00:55:00,351,2021-12-17T00:00:00Z,2021,December,Fri,00:55:00,351,2021-12-17T00:55:00Z,2021-12-17T01:14:35Z,2021,December,Fri,01:14:00,351,2021-12-17T00:55:00Z,2021-12-17T00:55:00Z,2021-12-17T06:27:38Z,2021-12-17T00:55:00Z,Victim,Government,NA,NA,NA,A533,NA,NA,Clear by Arrest,CBA (Over Age 17),"APS VEHICLE WAS EMITTING EXCESSIVE, UNUSUAL NOISES FROM A MUFFLER",FALSE,NA,None,NA,NA,No,99999999,TC,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2022-03-08T07:56:45Z,2456570.79753,7002572.57032,75220,DALLAS,TX,"1985 W NORTHWEST HWY
DALLAS, TX 75220
(32.868006, -96.9104)"
2018,2,POSS MARIJUANA <2OZ,Outdoor Area Public/Private,N/A,1615 JOHN WEST RD,1177,223,NORTHEAST,D7,2018-06-05T00:00:00Z,2018,June,Tue,12:29:00,156,2018-06-05T00:00:00Z,2018,June,Tue,12:29:00,156,2018-06-05T12:29:00Z,2018-06-05T12:50:52Z,2018,June,Tue,12:50:00,156,2018-06-05T12:29:09Z,2018-06-05T12:29:09Z,2018-06-05T22:43:19Z,2018-06-05T12:29:09Z,Victim,Society/Public,NA,NA,NA,B241,NA,NA,Clear by Arrest,CBA (Over Age 17),AP WAS STOP DUE TO TRAFFIC VIO/ POSS MARJI,FALSE,NA,None,NA,NA,Yes,35620008,HSC 481.121(b)(1),"NARCOTICS & DRUGS","NARCOTICS/DRUGS",1800,PART2,DRUG/ NARCOTIC VIOLATIONS,DRUG/ NARCOTIC VIOLATIONS,SOCIETY,35A,A,Coded,2018-06-26T16:20:06Z,2524982.81359261,6981388.30199011,75228,DALLAS,TX,"1615 JOHN WEST RD
DALLAS, TX 75228
(32.807094, -96.688609)"
2022,3,ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,Apartment Parking Lot,N/A,3035 E LEDBETTER DR,4308,733,SOUTH CENTRAL,D4,2022-08-16T00:00:00Z,2022,August,Tue,21:31:00,228,2022-08-16T00:00:00Z,2022,August,Tue,21:57:00,228,2022-08-16T23:36:00Z,2022-08-16T22:16:24Z,2022,August,Tue,22:16:00,228,2022-08-16T21:31:50Z,2022-08-16T21:31:50Z,2022-08-17T01:57:59Z,2022-08-16T21:56:11Z,Victim,Individual,Black,Non-Hispanic or Latino,Male,E772,Investigations,Capers / Assaults,Suspended,Suspended,UNKN SUSP FIRED A WEAPON IN THE AIR CAUSING PAIN TO COMPS FACE,FALSE,NA,None,Handgun,NA,No,99999999,Assault Investigation,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2022-08-31T15:18:11Z,2500671.85073,6941089.96166,75216,DALLAS,TX,"3035 E LEDBETTER DR
DALLAS, TX 75216
(32.696225, -96.768608)"
2021,1,LOST PROPERTY (NO OFFENSE),Apartment Parking Lot,NA,4753 OLD BENT TREE LN,4403,614,NORTH CENTRAL,D12,2021-04-14T00:00:00Z,2021,April,Wed,02:55:00,104,2021-04-14T00:00:00Z,2021,April,Wed,02:55:00,104,2021-04-14T03:01:40Z,2021-04-14T09:36:21Z,2021,April,Wed,09:36:00,104,NA,NA,NA,NA,Victim,Individual,Black,Non-Hispanic or Latino,Female,NA,NA,NA,Suspended,Suspended,NA,NA,NA,None,NA,UNK,NA,99999999,No Offense,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2021-04-14T09:51:24Z,2481833.86314528,7051258.28232861,75287,DALLAS,TX,"4753 OLD BENT TREE LN
DALLAS, TX 75287
(32.999949, -96.825424)"
2021,3,PUBLIC INTOXICATION,"Highway, Street, Alley ETC",N/A,8800 ROYAL LN,1040,213,NORTHEAST,D10,2021-05-17T00:00:00Z,2021,May,Mon,21:21:00,137,2021-05-17T00:00:00Z,2021,May,Mon,21:21:00,137,2021-05-17T21:21:00Z,2021-05-17T22:03:28Z,2021,May,Mon,22:03:00,137,2021-05-17T21:21:29Z,2021-05-17T21:21:28Z,2021-05-18T00:17:10Z,2021-05-17T21:24:09Z,Victim,Society/Public,NA,NA,NA,C264,NA,NA,Clear by Arrest,CBA (Over Age 17),PUBLIC INTOXICATION,FALSE,NA,None,NA,NA,No,99999999,PC 49.02,NA,NA,NA,NA,PUBLIC INTOXICATION,PUBLIC INTOXICATION,SOCIETY,90Z,B,90Z - No Coded,2021-05-17T23:39:50Z,2505028.3065857,7012343.40412177,75243,DALLAS,TX,"8800 ROYAL LN
DALLAS, TX 75243
(32.893333, -96.752815)"
2021,1,ROBBERY OF INDIVIDUAL,"Highway, Street, Alley ETC",N/A,9432 SCYENE RD,1245,325,SOUTHEAST,D7,2021-07-30T00:00:00Z,2021,July,Fri,01:00:00,211,2021-07-30T00:00:00Z,2021,July,Fri,01:10:00,211,2021-07-30T01:14:00Z,2021-07-30T01:56:06Z,2021,July,Fri,01:56:00,211,2021-07-30T01:14:35Z,2021-07-30T01:14:35Z,2021-07-30T06:17:13Z,2021-07-30T01:19:19Z,Victim,Individual,Black,Non-Hispanic or Latino,Male,A315,Investigations,Capers / Robbery,Suspended,Suspended,UNKNOWN SUSPECTS STOLE PROPERTY FROM COMP AND ASSAULTED HIM,FALSE,NA,None,Personal Weapons (Hands-Feet ETC),UNK,No,12990001,PC 29.02,NA,NA,NA,NA,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,120,A,Coded,2021-11-02T05:50:37Z,2533950.21975,6965268.71497,75227,DALLAS,TX,"9432 SCYENE RD
DALLAS, TX 75227
(32.763274, -96.660363)"
2019,2,ASSAULT -VERBAL THREAT,"Highway, Street, Alley ETC",N/A,614 MIDVALE DR,4349,743,SOUTH CENTRAL,D3,2019-08-24T00:00:00Z,2019,August,Sat,13:00:00,236,2019-08-24T00:00:00Z,2019,August,Sat,13:05:00,236,2019-08-24T13:10:00Z,2019-08-24T13:47:07Z,2019,August,Sat,13:47:00,236,2019-08-24T13:10:57Z,2019-08-24T13:10:57Z,2019-08-24T14:54:22Z,2019-08-24T13:13:17Z,Victim,Individual,Black,Non-Hispanic or Latino,Female,D715,NA,NA,Suspended,Suspended,VERBAL THREATS TO COMP.,FALSE,NA,None,NA,UNK,No,99999999,PC 22.01(a)(2),NA,NA,NA,NA,INTIMIDATION,ASSAULT OFFENSES,PERSON,13C,A,Coded,2019-09-16T10:16:44Z,2481995.16761269,6928377.35912769,75232,DALLAS,TX,"614 MIDVALE DR
DALLAS, TX 75232
(32.66361, -96.83123)"
2020,1,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Hotel/Motel/ETC,Parking Lot,2100 N COCKRELL HILL RD,4065,426,SOUTHWEST,D6,2020-10-29T00:00:00Z,2020,October,Thu,00:30:00,303,2020-10-29T00:00:00Z,2020,October,Thu,15:00:00,303,2020-10-29T16:57:00Z,2020-10-29T17:32:50Z,2020,October,Thu,17:32:00,303,2020-10-29T16:57:02Z,2020-10-29T16:57:02Z,2020-10-29T18:30:29Z,2020-10-29T17:17:52Z,NA,NA,NA,NA,NA,SF493,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,UNKNOWN SUSPECT DAMAGED VICTIMS TRUCK AND TOOK PROPERTY.,FALSE,NA,None,NA,NA,No,24110004,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Coded,2021-01-06T11:35:22Z,2461308.60142,6966996.40155,75212,DALLAS,TX,"2100 N COCKRELL HILL RD
DALLAS, TX 75212
(32.770815, -96.896298)"
2017,2,DEADLY CONDUCT,Parking Lot (All Others),N/A,8921 BLUECREST DR,4388,748,SOUTH CENTRAL,D8,2017-08-16T00:00:00Z,2017,August,Wed,09:00:00,228,2017-08-16T00:00:00Z,2017,August,Wed,09:15:00,228,2017-08-16T09:16:00Z,2017-08-16T09:45:07Z,2017,August,Wed,09:45:00,228,2017-08-16T09:09:43Z,2017-08-16T09:09:43Z,2017-08-16T11:16:11Z,2017-08-16T09:14:04Z,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,B793,Investigations,Capers / Assaults,Suspended,Suspended,COMP OBSERVED SUSP FIRED GUN IN THE AIR,FALSE,NA,None,Handgun,No,No,53990001,PC 22.05(a),ASSAULT,ASSAULT,450,PART2,AGG ASSAULT - NFV,ASSAULT OFFENSES,PERSON,13A,A,Coded,2017-09-02T09:14:42Z,2484089.62503794,6919697.63698585,75232,DALLAS,TX,"8921 BLUECREST DR
DALLAS, TX 75232
(32.639481, -96.82449)"
2020,3,INTERFERE W/ CHILD CUSTODY,Gas or Service Station,NA,10101 ROYAL LN,1055,246,NORTHEAST,D10,2020-03-19T00:00:00Z,2020,March,Thu,15:30:00,79,2020-03-19T00:00:00Z,2020,March,Thu,16:30:00,79,2020-03-27T20:04:55Z,2020-04-15T06:56:58Z,2020,April,Wed,06:56:00,106,NA,NA,NA,NA,Victim,Individual,NH,Non-Hispanic or Latino,Male,NA,Investigations,Capers / Youth Services,Clear by Exceptional Arrest,CBEA (Over Age 17),NA,NA,NA,None,NA,No,NA,38060010,PC 25.03,NA,NA,NA,NA,"FAMILY OFFENSES, NONVIOLENT","FAMILY OFFENSES, NONVIOLENT",SOCIETY,90F,B,90F - No Coded,2020-04-21T21:43:06Z,2516867.96925803,7013283.14502443,75238,DALLAS,TX,"10101 ROYAL LN
DALLAS, TX 75238
(32.894574, -96.713092)"
2019,3,BMV,Apartment Parking Lot,Parking Lot,13353 EMILY RD,4521,643,NORTH CENTRAL,D11,2019-01-04T00:00:00Z,2019,January,Fri,17:00:00,4,2019-01-04T00:00:00Z,2019,January,Fri,23:20:00,4,2019-01-04T23:33:00Z,2019-01-04T23:58:48Z,2019,January,Fri,23:58:00,4,2019-01-04T23:33:43Z,2019-01-04T23:33:43Z,2019-01-05T00:29:36Z,2019-01-04T23:37:01Z,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,A614,Investigations,Property Crime Division / NC Property Crimes,Suspended,Suspended,UNK SUSP BROKE COMPS VEHICLE WINDOW AND TOOK PROP W/O CONSENT,FALSE,NA,None,NA,NA,No,22990004,PC 30.04(a),NA,NA,NA,NA,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,23F,A,Coded,2019-02-04T15:26:25Z,2500815.90031236,7025521.61464193,75240,DALLAS,TX,"13353 EMILY RD
DALLAS, TX 75240
(32.929643, -96.764484)"
2020,3,BMV,Gas or Service Station,NA,8800 S POLK ST,4370,746,SOUTH CENTRAL,D8,2020-12-24T00:00:00Z,2020,December,Thu,20:00:00,359,2020-12-25T00:00:00Z,2020,December,Fri,02:00:00,360,2020-12-28T15:16:27Z,2020-12-28T16:30:41Z,2020,December,Mon,16:30:00,363,NA,NA,NA,NA,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,NA,Investigations,Property Crime Division / SC Property Crimes,Suspended,Suspended,NA,NA,NA,None,NA,No,NA,22990004,PC 30.04(a),NA,NA,NA,NA,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,23F,A,Coded,2021-01-12T13:12:00Z,2479134.37215319,6921920.09481128,75232,DALLAS,TX,"8800 S POLK ST
DALLAS, TX 75232
(32.6458, -96.840129)"
