year_of_incident,watch,type_of_incident,type_location,type_of_property,incident_address,reporting_area,beat,division,council_district,date1_of_occurrence,year1_of_occurrence,month1_of_occurence,day1_of_the_week,time1_of_occurrence,day1_of_the_year,date2_of_occurrence,year2_of_occurrence,month2_of_occurence,day2_of_the_week,time2_of_occurrence,day2_of_the_year,date_of_report,date_incident_created,offense_entered_year,offense_entered_month,offense_entered_day_of_the_week,offense_entered_time,offense_entered_date_time,call_received_date_time,call_date_time,call_cleared_date_time,call_dispatch_date_time,person_involvement_type,victim_type,victim_race,victim_ethnicity,victim_gender,element_number_assigned,investigating_unit_1,investigating_unit_2,offense_status,ucr_disposition,modus_operandi_mo,family_offense,hate_crime,hate_crime_description,weapon_used,gang_related_offense,drug_related_istevencident,criminal_justice_information_service_code,penal_code,ucr_offense_name,ucr_offense_description,ucr_code,offense_type,nibrs_crime,nibrs_crime_category,nibrs_crime_against,nibrs_code,nibrs_group,nibrs_type,update_date,x_coordinate,y_cordinate,zip_code,city,state,location1
2022,2,BMV,Park,Motor Vehicle,7025 CHURCHILL WAY,1027,642,NORTH CENTRAL,D11,2022-09-03T00:00:00Z,2022,September,Sat,09:05:00,246,2022-09-03T00:00:00Z,2022,September,Sat,10:05:00,246,2022-09-03T12:18:00Z,2022-09-03T10:41:12Z,2022,September,Sat,10:41:00,246,2022-09-03T10:10:31Z,2022-09-03T10:10:31Z,2022-09-03T12:23:10Z,2022-09-03T10:17:52Z,Victim,Individual,White,Non-Hispanic or Latino,Female,D612,Investigations,Property Crime Division / NC Property Crimes,Suspended,Suspended,UNK SUSP BROKE INTO VEHICLE AND TOOK PROPERTY WITHOUT CONSENT,FALSE,NA,None,NA,NA,No,22990011,PC 30.04(d),NA,NA,NA,NA,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,23F,A,No Coded,2022-09-05T13:14:37Z,2494813.96907,7021143.51874,75230,DALLAS,TX,"7025 CHURCHILL WAY
DALLAS, TX 75230
(32.917086, -96.784685)"
2022,3,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",Church/Synagogue/Temple/Mosque,NA,2431 WARREN AVE,2159,345,SOUTHEAST,D7,2022-08-12T00:00:00Z,2022,August,Fri,22:00:00,224,2022-08-12T00:00:00Z,2022,August,Fri,23:00:00,224,2022-08-16T15:01:18Z,2022-08-16T15:31:00Z,2022,August,Tue,15:31:00,228,NA,NA,NA,NA,Victim,Business,NA,NA,NA,NA,NA,NA,Open,Open,NA,NA,NA,None,NA,NA,NA,23990194,PC 31.03(e)(4)(A),NA,NA,NA,NA,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,23H,A,Coded,2022-09-12T15:22:30Z,2500560.95528,6964989.12383,75215,DALLAS,TX,"2431 WARREN AVE
DALLAS, TX 75215
(32.762941, -96.769288)"
2020,3,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Single Family Residence - Occupied,N/A,2412 56TH ST,4326,735,SOUTH CENTRAL,D8,2020-01-27T00:00:00Z,2020,January,Mon,09:00:00,27,2020-01-28T00:00:00Z,2020,January,Tue,11:00:00,28,2020-01-28T12:36:00Z,2020-01-28T14:10:43Z,2020,January,Tue,14:10:00,28,2020-01-28T12:36:46Z,2020-01-28T12:36:46Z,2020-01-28T14:54:47Z,2020-01-28T13:42:51Z,Registered Owner,Individual,Hispanic or Latino,Hispanic or Latino,Female,D714,Investigations,Property Crime Division / SC Property Crimes,Suspended,Suspended,UNK SUSPECT STOLE THE COMP PROPERTY,FALSE,NA,None,NA,NA,No,24110003,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Coded,2020-07-10T18:49:56Z,2496874.75401,6937130.89273,75241,DALLAS,TX,"2412 56TH ST
DALLAS, TX 75241
(32.686897, -96.782359)"
2020,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",N/A,2800 JERRIDEE CIR,3015,552,NORTHWEST,D6,2020-11-10T00:00:00Z,2020,November,Tue,18:00:00,315,2020-11-11T00:00:00Z,2020,November,Wed,07:25:00,316,2020-11-11T08:29:00Z,2020-11-11T08:09:36Z,2020,November,Wed,08:09:00,316,2020-11-11T07:34:58Z,2020-11-11T07:34:58Z,2020-11-11T09:11:58Z,2020-11-11T07:58:25Z,Registered Owner,Individual,Hispanic or Latino,Hispanic or Latino,Male,B534,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,UNKNOWN SUSPECT ENTERED VEHICLE AND TOOK IT W/O CONSENT,FALSE,NA,None,NA,NA,No,24110003,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Coded,2021-02-05T21:23:31Z,2464636.54565,7015266.88791,75229,DALLAS,TX,"2800 JERRIDEE CIR
DALLAS, TX 75229
(32.902987, -96.883914)"
2017,1,BMV,Apartment Parking Lot,N/A,12660 JUPITER RD,1090,233,NORTHEAST,D9,2017-02-11T00:00:00Z,2017,February,Sat,15:00:00,42,2017-02-12T00:00:00Z,2017,February,Sun,14:00:00,43,2017-02-12T14:39:00Z,2017-02-12T16:55:08Z,2017,February,Sun,16:55:00,43,2017-02-12T14:39:28Z,2017-02-12T14:39:20Z,2017-02-12T18:07:31Z,2017-02-12T16:37:26Z,Victim,Individual,White,Non-Hispanic or Latino,Female,C225,Investigations,Property Crime Division / NE Property Crimes,Suspended,Suspended,UNKNOWN SUSP BROKE AND ENTERED COMPS VEH TOOK PROP,FALSE,NA,None,Other,No,No,22990004,PC 30.04(a),THEFT/BMV,THEFT,640,PART1,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,23F,A,Coded,2017-02-24T15:43:41Z,2526935.21093452,7003582.61914994,75238,DALLAS,TX,"12660 JUPITER RD
DALLAS, TX 75238
(32.868069, -96.683027)"
2017,1,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,N/A,6031 PINELAND DR,4527,217,NORTHEAST,D13,2017-08-11T00:00:00Z,2017,August,Fri,19:00:00,223,2017-08-12T00:00:00Z,2017,August,Sat,19:00:00,224,2017-08-12T19:39:00Z,2017-08-12T20:46:36Z,2017,August,Sat,20:46:00,224,2017-08-12T19:39:14Z,2017-08-12T19:39:13Z,2017-08-12T20:46:06Z,2017-08-12T20:38:47Z,Victim,Individual,Black,Non-Hispanic or Latino,Male,EX06,Investigations,Property Crime Division / NE Property Crimes,Suspended,Suspended,UNKNOWN SUSPECT REMOVED LP FROM PARKED VEHICLE,FALSE,NA,None,Other,No,No,99999999,PC 31.03(f),THEFT/BMV,THEFT,650,PART1,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,23G,A,Coded,2019-06-16T23:42:43Z,2504453.80806278,7005127.09211086,75231,DALLAS,TX,"6031 PINELAND DR
DALLAS, TX 75231
(32.873898, -96.753058)"
2018,1,ABANDONED PROPERTY (NO OFFENSE),Outdoor Area Public/Private,N/A,7200 HARRY HINES BLVD,3083,513,NORTHWEST,D2,2018-01-26T00:00:00Z,2018,January,Fri,17:00:00,26,2018-01-29T00:00:00Z,2018,January,Mon,13:00:00,29,2018-02-01T13:45:00Z,2018-02-01T13:31:33Z,2018,February,Thu,13:31:00,32,2018-02-01T13:21:26Z,2018-02-01T13:21:26Z,2018-02-01T14:36:35Z,2018-02-01T13:21:26Z,Victim,Government,NA,NA,NA,B538,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,DISABLED VEHICLE WITH FRONT END DAMAGE ABANDONED IN DITCH,FALSE,NA,None,Other,No,No,99999999,No Violation,FOUND,FOUND PROPERTY,4300,NOT CODED,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2018-02-20T22:36:28Z,2473548.4384432,6988089.51332518,75235,DALLAS,TX,"7200 HARRY HINES BLVD
DALLAS, TX 75235
(32.827582, -96.856255)"
2020,3,ROBBERY OF INDIVIDUAL (AGG),Apartment Parking Lot,N/A,10700 WOODMEADOW PKWY,1132,228,NORTHEAST,D9,2020-06-17T00:00:00Z,2020,June,Wed,22:47:00,169,2020-06-17T00:00:00Z,2020,June,Wed,22:50:00,169,2020-06-17T22:51:00Z,2020-06-18T01:13:28Z,2020,June,Thu,01:13:00,170,2020-06-17T22:51:45Z,2020-06-17T22:51:45Z,2020-06-18T01:23:55Z,2020-06-18T00:49:58Z,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,E234,Investigations,Capers / Robbery,Suspended,Suspended,"UNK SUSPS POINTED WEAPON, ASSAULTED AND TOOK PROP FROM COMP",FALSE,NA,None,Handgun,UNK,No,12990002,PC 29.03,NA,NA,NA,NA,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,120,A,Coded,2022-08-03T12:19:33Z,2540024.29401,6995864.27829,75228,DALLAS,TX,"10700 WOODMEADOW PKWY
DALLAS, TX 75228
(32.845879, -96.63904)"
2019,2,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Hotel/Motel/ETC,N/A,2806 HEDGEROW DR,3102,542,NORTHWEST,D2,2019-02-20T00:00:00Z,2019,February,Wed,07:00:00,51,2019-02-20T00:00:00Z,2019,February,Wed,21:00:00,51,2019-02-21T01:55:00Z,2019-02-21T01:07:10Z,2019,February,Thu,01:07:00,52,2019-02-21T00:44:59Z,2019-02-21T00:44:58Z,2019-02-21T02:24:11Z,2019-02-21T00:47:32Z,Registered Owner,Individual,Hispanic or Latino,Hispanic or Latino,Male,A543,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,UNKNOWN SUSPECT TOOK COMPS VEHICLE WITHOUT CONSENT BY UNK MEANS,FALSE,NA,None,NA,NA,No,24110003,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Coded,2020-09-17T11:56:13Z,2481151.33931,6985903.02402,75235,DALLAS,TX,"2806 HEDGEROW DR
DALLAS, TX 75235
(32.821753, -96.83127)"
2020,1,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Apartment Parking Lot,N/A,2605 JOHN WEST RD,1180,224,NORTHEAST,D7,2020-02-17T00:00:00Z,2020,February,Mon,01:00:00,48,2020-02-17T00:00:00Z,2020,February,Mon,06:40:00,48,2020-02-17T06:44:00Z,2020-02-17T09:17:05Z,2020,February,Mon,09:17:00,48,2020-02-17T06:44:57Z,2020-02-17T06:44:56Z,2020-02-17T09:39:29Z,2020-02-17T08:59:12Z,Registered Owner,Individual,Hispanic or Latino,Hispanic or Latino,Male,D227,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,UNKNOWN SUSP ATTEMPTED TO TAKE COMP'S VEHICLE WITHOUT CONSENT,FALSE,NA,None,NA,NA,No,24110004,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Coded,2022-07-26T14:49:53Z,2530331.68813,6982173.29886,75228,DALLAS,TX,"2605 JOHN WEST RD
DALLAS, TX 75228
(32.807096, -96.671324)"
2015,1,BMV,Condominium/Townhome Parking,Other,2100 N HASKELL AVE,2009,155,CENTRAL,D2,2015-12-11T00:00:00Z,2015,December,Fri,17:00:00,345,2015-12-14T00:00:00Z,2015,December,Mon,09:40:00,348,2015-12-14T11:10:00Z,2015-12-14T09:51:32Z,2015,December,Mon,09:51:00,348,2015-12-14T08:42:33Z,2015-12-14T08:42:32Z,2015-12-14T12:52:12Z,2015-12-14T09:41:20Z,Victim,Individual,White,Non-Hispanic or Latino,Male,D133,NA,NA,Suspended,Suspended,"SUSP BROKE VEH WINDOW, ENTERED VEH AND STOLE PROPERTY",FALSE,NA,None,Other,No,No,22990004,PC 30.04(a),THEFT/BMV,THEFT,640,PART1,NA,NA,NA,NA,NA,NA,2015-12-15T06:09:13Z,2494879.10509937,6979189.01439394,75204,DALLAS,TX,"2100 N HASKELL AVE
DALLAS, TX 75204
(32.802445, -96.786758)"
2018,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Other,N/A,5333 W KIEST BLVD,4442,433,SOUTHWEST,D3,2018-06-26T00:00:00Z,2018,June,Tue,00:00:00,177,2018-08-24T00:00:00Z,2018,August,Fri,00:00:00,236,2018-08-27T11:11:00Z,2018-08-27T10:54:23Z,2018,August,Mon,10:54:00,239,2018-08-27T10:29:16Z,2018-08-27T10:29:16Z,2018-08-27T11:32:30Z,2018-08-27T10:29:16Z,NA,NA,NA,NA,NA,F444,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,UNK SUSP TOOK VEHICLE W/O CONSENT,FALSE,NA,None,NA,NA,No,24110003,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Coded,2021-02-25T18:09:24Z,2456574.40973,6944331.18253,75211,DALLAS,TX,"5333 W KIEST BLVD
DALLAS, TX 75211
(32.705747, -96.912835)"
2022,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Complex/Building,N/A,8107 MANDERVILLE LN,1038,241,NORTHEAST,D13,2022-08-04T00:00:00Z,2022,August,Thu,22:30:00,216,2022-08-05T00:00:00Z,2022,August,Fri,08:30:00,217,2022-08-05T08:33:00Z,2022-08-05T10:16:36Z,2022,August,Fri,10:16:00,217,2022-08-05T08:33:54Z,2022-08-05T08:33:53Z,2022-08-05T12:43:45Z,2022-08-05T11:21:57Z,Victim,Individual,White,Non-Hispanic or Latino,Male,B231,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,UNK SUSP TOOK VIC'S VEHICLE WITHOUT CONSENT.,FALSE,NA,None,NA,NA,No,24110003,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Not Coded,2022-08-11T07:56:37Z,2500946.57787,7011114.55356,75231,DALLAS,TX,"8107 MANDERVILLE LN
DALLAS, TX 75231
(32.890984, -96.765216)"
2014,3,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",N/A,2900 JEFFRIES ST,2128,343,SOUTHEAST,D7,2014-08-01T00:00:00Z,2014,August,Fri,23:00:00,213,2014-08-01T00:00:00Z,2014,August,Fri,23:42:00,213,2014-08-02T00:33:00Z,2014-08-02T00:29:27Z,2014,August,Sat,00:29:00,214,2014-08-01T23:38:54Z,2014-08-01T23:38:53Z,2014-08-02T00:49:38Z,2014-08-02T00:06:50Z,NA,NA,NA,NA,NA,A318,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,NA,FALSE,NA,None,NA,UNK,UNK,24110003,PC 31.07,UUMV,AUTO THEFT - UUMV,710,PART1,NA,NA,NA,NA,NA,NA,2018-02-20T09:17:44Z,2500764.37417,6967796.06868,75215,DALLAS,TX,"2900 JEFFRIES ST
DALLAS, TX 75215
(32.77147, -96.768907)"
2016,1,BURGLARY OF HABITATION - FORCED ENTRY,Single Family Residence - Vacant,Residential Property Occupied/Vacant,10315 OAK GATE LN,1257,327,SOUTHEAST,D5,2016-06-01T00:00:00Z,2016,June,Wed,14:30:00,153,2016-06-02T00:00:00Z,2016,June,Thu,14:30:00,154,2016-06-02T14:30:00Z,2016-06-02T15:35:05Z,2016,June,Thu,15:35:00,154,2016-06-02T14:32:05Z,2016-06-02T14:32:05Z,2016-06-02T17:41:36Z,2016-06-02T14:58:37Z,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,F312,Investigations,Property Crime Division / SE Property Crimes,Suspended,Suspended,SUSP MADE A HOLE IN THE GARAGE DOOR AND MADE ENTRY INTO RESIDENCE,FALSE,NA,None,Other,No,No,22990002,PC 30.02(c)(2),BURGLARY-RESIDENCE,BURGLARY,511,PART1,NA,NA,NA,NA,NA,NA,2016-09-26T17:38:57Z,2538467.49430037,6958226.08355086,75217,DALLAS,TX,"10315 OAK GATE LN
DALLAS, TX 75217
(32.742547, -96.646086)"
2021,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),Motor Vehicle,8213 MEADOW RD,2123,151,CENTRAL,D2,2021-06-12T00:00:00Z,2021,June,Sat,21:00:00,163,2021-06-13T00:00:00Z,2021,June,Sun,10:00:00,164,2021-06-14T18:00:00Z,2021-06-04T10:04:00Z,2021,June,Fri,10:04:00,155,2021-06-04T10:03:09Z,2021-06-04T10:03:09Z,2021-06-04T10:05:00Z,2021-06-04T10:03:09Z,Victim,Business,NA,NA,NA,G114,Investigations,Special Investigations / Auto Theft,Clear by Exceptional Arrest,CBEA (Over Age 17),UNK SUSP TOOK VEH WITHOUT CONSENT,FALSE,NA,None,NA,NA,No,24110003,PC 31.07,NA,NA,NA,NA,UUMV,MOTOR VEHICLE THEFT,PROPERTY,240,A,Not Coded,2021-08-18T12:03:26Z,2492356.58324152,6966513.77530877,75231,DALLAS,NA,"8213 MEADOW RD
DALLAS 75231
(32.887733, -96.763731)"
